"São Paulo FC,,,,,FC Istres,,,,,Club Brugge KV,,,,,EA Guingamp,,,,,FC Schalke 04,,,,,Paysandu SC,,,,,Ponte Preta,,,,,Palmeiras,,,,,"
"Bezerra Patrick,MA(DEC) M,29,79,,,,,,,Antonio Nusa,A(DE) MA,16,63,,Yoann Cathline,A(C),19,63,,,,,,,,,,,,,,,,,Acosta Deyverson,A(C),30,79,,"
"Jonathan Calleri,A(C),28,80,,,,,,,Mathis Servais,A(DE) MA,17,63,,Boris Mathis,A(DEC) MA(DE),24,69,,,,,,,,,,,,,,,,,Gabriel Silva,A(C),20,69,,"
"Facundo Milan,A(C),21,69,,,,,,,Andreas Skov Olsen,A(DE) MA(DEC),22,78,,,,,,,,,,,,,,,,,,,,,,Rodrigues Dudu,A(DE) MA(DEC),30,82,,"
"Juan Santos,A(C),20,66,,,,,,,Noa Lang,A(DEC) MA(DE),22,81,,,,,,,,,,,,,,,,,,,,,,Barbosa Rony,A(DEC) MA(DE),26,80,,"
"João Adriano,A(C),19,58,,,,,,,Sargis Adamyan,A(DEC) MA(DE),28,78,,,,,,,,,,,,,,,,,,,,,,Silva Wesley,A(DEC) MA(DE),22,76,,"
"Citadin Eder,A(EC) MA,35,79,,,,,,,Daniel Perez,A(DEC) MA(DE),20,66,,,,,,,,,,,,,,,,,,,,,,Breno Lopes,A(DEC) MA(DE),26,75,,"
"Alencar Marquinhos,A(DC) MA,18,66,,,,,,,Charles de Ketelaere,A(DEC) MA,21,81,,,,,,,,,,,,,,,,,,,,,,Henrique Giovani,A(DEC) MA(DE),18,63,,"
"Emiliano Rigoni,A(DEC) MA(DE),29,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sousa Endrick,A(DEC) MA(DE),15,63,,"
"Jonas Toro,A(DEC) MA(DE),22,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel Veron,A(DEC) MA,19,75,,"
"Luciano Neves,A(DEC) MA,28,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luan Silva,A(DEC) MA,23,66,,"
"Maycon Nikão,A(DEC) MA,29,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Navarro,A(DEC) MA,21,63,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
